gene alpha_original SE_original P_original N_original Phet_original alpha SE P Nend Phet
ENSG00000228078 0.04366 0.09861 0.658 74 1 0.04366 0.09861 0.658 74 1
ENSG00000228079 0.0462 0.10249 0.652 83 1 0.0462 0.10249 0.652 83 1
ENSG00000228084 -0.01546 0.11864 0.896 64 1 -0.01546 0.11864 0.896 64 1
ENSG00000228106 -0.0163 0.09463 0.863 81 1 -0.0163 0.09463 0.863 81 1
ENSG00000228107 0.11179 0.09397 0.234 84 1 0.11179 0.09397 0.234 84 1
ENSG00000228109 0.05579 0.09592 0.561 81 1 0.05579 0.09592 0.561 81 1
ENSG00000228110 -0.0161 0.04998 0.747 110 1 -0.0161 0.04998 0.747 110 1
ENSG00000228118 0.02281 0.04363 0.601 117 0.999 0.02281 0.04363 0.601 117 0.999
ENSG00000228137 -0.0071 0.11819 0.952 76 1 -0.0071 0.11819 0.952 76 1
ENSG00000228139 0.10692 0.11511 0.353 77 1 0.10692 0.11511 0.353 77 1
ENSG00000228140 -0.00049 0.09349 0.996 87 1 -0.00049 0.09349 0.996 87 1
ENSG00000228146 0.02403 0.0445 0.589 113 0.999 0.02403 0.0445 0.589 113 0.999
ENSG00000228157 0.06224 0.10884 0.567 75 1 0.06224 0.10884 0.567 75 1
ENSG00000228168 0.02086 0.09686 0.829 78 1 0.02086 0.09686 0.829 78 1
ENSG00000228201 0.11107 0.10715 0.3 85 1 0.11107 0.10715 0.3 85 1
ENSG00000228203 -0.03039 0.09518 0.75 80 1 -0.03039 0.09518 0.75 80 1
ENSG00000228205 -0.01285 0.04979 0.796 112 0.999 -0.01285 0.04979 0.796 112 0.999
ENSG00000228216 0.14579 0.12339 0.237 66 1 0.14579 0.12339 0.237 66 1
ENSG00000228217 -0.03683 0.10617 0.729 79 1 -0.03683 0.10617 0.729 79 1
ENSG00000228218 0.07188 0.10545 0.495 84 1 0.07188 0.10545 0.495 84 1
ENSG00000228223 0.0465 0.08635 0.59 87 1 0.0465 0.08635 0.59 87 1
ENSG00000228224 0.00516 0.03586 0.886 120 0.542 0.00516 0.03586 0.886 120 0.542
ENSG00000228232 0.03268 0.09455 0.73 85 1 0.03268 0.09455 0.73 85 1
ENSG00000228242 0.03978 0.0955 0.677 83 1 0.03978 0.0955 0.677 83 1
ENSG00000228251 -0.06488 0.10804 0.548 73 1 -0.06488 0.10804 0.548 73 1
ENSG00000228252 -0.03296 0.04259 0.439 119 0.987 -0.03296 0.04259 0.439 119 0.987
ENSG00000228261 -0.02009 0.11357 0.86 76 1 -0.02009 0.11357 0.86 76 1
ENSG00000228264 0.0205 0.11424 0.858 78 1 0.0205 0.11424 0.858 78 1
ENSG00000228265 0.11874 0.09584 0.215 81 1 0.11874 0.09584 0.215 81 1
ENSG00000228274 -0.04571 0.09297 0.623 86 1 -0.04571 0.09297 0.623 86 1
ENSG00000228278 -0.00243 0.03535 0.945 121 0.987 -0.00243 0.03535 0.945 121 0.987
ENSG00000228288 0.04115 0.04299 0.338 119 0.991 0.04115 0.04299 0.338 119 0.991
ENSG00000228300 -0.01552 0.03501 0.658 125 0.791 -0.01552 0.03501 0.658 125 0.791
ENSG00000228302 -0.00416 0.09664 0.966 80 1 -0.00416 0.09664 0.966 80 1
ENSG00000228305 0.07308 0.10318 0.479 79 1 0.07308 0.10318 0.479 79 1
ENSG00000228314 0.04663 0.09732 0.632 84 1 0.04663 0.09732 0.632 84 1
ENSG00000228315 0.07796 0.07676 0.31 93 1 0.07796 0.07676 0.31 93 1
ENSG00000228318 0.03715 0.10321 0.719 82 1 0.03715 0.10321 0.719 82 1
ENSG00000228323 0.04733 0.11408 0.678 82 1 0.04733 0.11408 0.678 82 1
ENSG00000228327 0.12657 0.09578 0.186 83 1 0.12657 0.09578 0.186 83 1
ENSG00000228329 -0.10636 0.11349 0.349 76 1 -0.10636 0.11349 0.349 76 1
ENSG00000228330 0.06553 0.12302 0.594 75 1 0.06553 0.12302 0.594 75 1
ENSG00000228335 -0.02537 0.08064 0.753 86 1 -0.02537 0.08064 0.753 86 1
ENSG00000228340 0.02956 0.04867 0.544 115 1 0.02956 0.04867 0.544 115 1
ENSG00000228343 0.06398 0.09813 0.514 84 1 0.06398 0.09813 0.514 84 1
ENSG00000228352 0.02705 0.12459 0.828 65 1 0.02705 0.12459 0.828 65 1
ENSG00000228363 0.0205 0.09742 0.833 82 1 0.0205 0.09742 0.833 82 1
ENSG00000228382 0.03186 0.09226 0.73 86 1 0.03186 0.09226 0.73 86 1
ENSG00000228389 -0.03549 0.09696 0.714 75 1 -0.03549 0.09696 0.714 75 1
ENSG00000228393 0.09293 0.10123 0.359 73 1 0.09293 0.10123 0.359 73 1
ENSG00000228395 0.0703 0.09693 0.468 79 1 0.0703 0.09693 0.468 79 1
ENSG00000228399 -0.16607 0.12072 0.169 72 1 -0.16607 0.12072 0.169 72 1
ENSG00000228403 -0.06281 0.11565 0.587 68 1 -0.06281 0.11565 0.587 68 1
ENSG00000228409 0.0401 0.08406 0.633 93 1 0.0401 0.08406 0.633 93 1
ENSG00000228427 -0.00629 0.09255 0.946 87 1 -0.00629 0.09255 0.946 87 1
ENSG00000228434 0.06663 0.09656 0.49 82 1 0.06663 0.09656 0.49 82 1
ENSG00000228436 -0.00752 0.10712 0.944 82 1 -0.00752 0.10712 0.944 82 1
ENSG00000228439 0.04653 0.09991 0.641 74 1 0.04653 0.09991 0.641 74 1
ENSG00000228444 0.13922 0.1181 0.238 68 1 0.13922 0.1181 0.238 68 1
ENSG00000228446 -0.01983 0.10708 0.853 70 1 -0.01983 0.10708 0.853 70 1
ENSG00000228451 0.04813 0.06496 0.459 100 1 0.04813 0.06496 0.459 100 1
ENSG00000228452 0.01737 0.10137 0.864 81 1 0.01737 0.10137 0.864 81 1
ENSG00000228463 0.14627 0.09717 0.132 77 1 0.14627 0.09717 0.132 77 1
ENSG00000228474 -0.04683 0.03974 0.239 118 0.987 -0.04683 0.03974 0.239 118 0.987
ENSG00000228476 0.10644 0.10962 0.332 74 1 0.10644 0.10962 0.332 74 1
ENSG00000228477 0.08859 0.11231 0.43 78 1 0.08859 0.11231 0.43 78 1
ENSG00000228486 -0.04893 0.0494 0.322 109 0.999 -0.04893 0.0494 0.322 109 0.999
ENSG00000228487 0.00546 0.11539 0.962 71 1 0.00546 0.11539 0.962 71 1
ENSG00000228492 0.04498 0.10336 0.663 77 1 0.04498 0.10336 0.663 77 1
ENSG00000228495 -0.0993 0.07809 0.203 88 1 -0.0993 0.07809 0.203 88 1
ENSG00000228502 0.06475 0.09608 0.5 82 1 0.06475 0.09608 0.5 82 1
ENSG00000228506 -0.01878 0.09618 0.845 79 1 -0.01878 0.09618 0.845 79 1
ENSG00000228519 -0.0715 0.11264 0.526 68 1 -0.0715 0.11264 0.526 68 1
ENSG00000228541 -0.09894 0.10641 0.352 74 1 -0.09894 0.10641 0.352 74 1
ENSG00000228544 -0.02355 0.04911 0.631 113 0.998 -0.02355 0.04911 0.631 113 0.998
ENSG00000228549 0.13704 0.10017 0.171 84 1 0.13704 0.10017 0.171 84 1
ENSG00000228570 -0.0382 0.09485 0.687 83 1 -0.0382 0.09485 0.687 83 1
ENSG00000228589 0.05644 0.0946 0.551 79 1 0.05644 0.0946 0.551 79 1
ENSG00000228590 -0.04916 0.06536 0.452 100 1 -0.04916 0.06536 0.452 100 1
ENSG00000228594 -0.00386 0.0421 0.927 120 0.999 -0.00386 0.0421 0.927 120 0.999
ENSG00000228601 0.0509 0.1001 0.611 82 1 0.0509 0.1001 0.611 82 1
ENSG00000228606 -0.08243 0.04213 0.0504 122 0.995 -0.08243 0.04213 0.0504 122 0.995
ENSG00000228609 0.00032 0.10735 0.998 81 1 0.00032 0.10735 0.998 81 1
ENSG00000228623 0.01099 0.04382 0.802 117 0.999 0.01099 0.04382 0.802 117 0.999
ENSG00000228624 0.05064 0.09341 0.588 91 1 0.05064 0.09341 0.588 91 1
ENSG00000228634 -0.17936 0.1216 0.14 72 1 -0.17936 0.1216 0.14 72 1
ENSG00000228638 0.10297 0.10068 0.306 74 1 0.10297 0.10068 0.306 74 1
ENSG00000228649 -0.02687 0.09338 0.774 83 1 -0.02687 0.09338 0.774 83 1
ENSG00000228651 -0.1743 0.10257 0.0893 75 1 -0.1743 0.10257 0.0893 75 1
ENSG00000228653 -0.0452 0.1105 0.683 80 1 -0.0452 0.1105 0.683 80 1
ENSG00000228655 0.03592 0.09895 0.717 83 1 0.03592 0.09895 0.717 83 1
ENSG00000228663 0.00895 0.09293 0.923 86 1 0.00895 0.09293 0.923 86 1
ENSG00000228668 -0.0252 0.09673 0.794 81 1 -0.0252 0.09673 0.794 81 1
ENSG00000228672 0.00014 0.03951 0.997 122 0.964 0.00014 0.03951 0.997 122 0.964
ENSG00000228686 -0.06208 0.10466 0.553 80 1 -0.06208 0.10466 0.553 80 1
ENSG00000228692 0.05463 0.1045 0.601 80 1 0.05463 0.1045 0.601 80 1
ENSG00000228695 0.04977 0.04056 0.22 120 0.943 0.04977 0.04056 0.22 120 0.943
ENSG00000228696 -0.03605 0.07381 0.625 99 1 -0.03605 0.07381 0.625 99 1
ENSG00000228701 -0.05533 0.10642 0.603 79 1 -0.05533 0.10642 0.603 79 1
ENSG00000228705 0.0156 0.10991 0.887 77 1 0.0156 0.10991 0.887 77 1
ENSG00000228709 0.04457 0.10113 0.659 75 1 0.04457 0.10113 0.659 75 1
ENSG00000228716 -0.00148 0.08439 0.986 93 1 -0.00148 0.08439 0.986 93 1
ENSG00000228719 -0.11438 0.10583 0.28 78 1 -0.11438 0.10583 0.28 78 1
ENSG00000228727 0.02053 0.07393 0.781 98 1 0.02053 0.07393 0.781 98 1
ENSG00000228775 0.09704 0.09545 0.309 83 1 0.09704 0.09545 0.309 83 1
ENSG00000228779 0.06553 0.12211 0.592 72 1 0.06553 0.12211 0.592 72 1
ENSG00000228782 -0.06059 0.061 0.321 106 1 -0.06059 0.061 0.321 106 1
ENSG00000228784 -0.06452 0.04243 0.128 117 0.992 -0.06452 0.04243 0.128 117 0.992
ENSG00000228789 -0.06968 0.10018 0.487 77 1 -0.06968 0.10018 0.487 77 1
ENSG00000228794 0.01997 0.09323 0.83 88 1 0.01997 0.09323 0.83 88 1
ENSG00000228797 -0.0732 0.10356 0.48 77 1 -0.0732 0.10356 0.48 77 1
ENSG00000228800 0.09855 0.10807 0.362 83 1 0.09855 0.10807 0.362 83 1
ENSG00000228801 -0.06565 0.07348 0.372 99 1 -0.06565 0.07348 0.372 99 1
ENSG00000228804 -0.05501 0.10081 0.585 78 1 -0.05501 0.10081 0.585 78 1
ENSG00000228808 0.07986 0.11647 0.493 76 1 0.07986 0.11647 0.493 76 1
ENSG00000228817 -0.06258 0.10715 0.559 78 1 -0.06258 0.10715 0.559 78 1
ENSG00000228839 -0.03809 0.07592 0.616 90 1 -0.03809 0.07592 0.616 90 1
ENSG00000228852 0.01258 0.10689 0.906 81 1 0.01258 0.10689 0.906 81 1
ENSG00000228857 0.04664 0.09182 0.611 89 1 0.04664 0.09182 0.611 89 1
ENSG00000228863 -0.073 0.09388 0.437 89 1 -0.073 0.09388 0.437 89 1
ENSG00000228878 -0.03372 0.0927 0.716 86 1 -0.03372 0.0927 0.716 86 1
ENSG00000228887 -0.0463 0.09872 0.639 83 1 -0.0463 0.09872 0.639 83 1
ENSG00000228889 -0.02646 0.09468 0.78 83 1 -0.02646 0.09468 0.78 83 1
ENSG00000228897 0.01185 0.10596 0.911 70 1 0.01185 0.10596 0.911 70 1
ENSG00000228903 0.12151 0.09909 0.22 67 1 0.12151 0.09909 0.22 67 1
ENSG00000228906 0.10321 0.09933 0.299 81 1 0.10321 0.09933 0.299 81 1
ENSG00000228923 0.06851 0.1179 0.561 67 1 0.06851 0.1179 0.561 67 1
ENSG00000228925 -0.06523 0.10898 0.549 79 1 -0.06523 0.10898 0.549 79 1
ENSG00000228929 -0.14847 0.07332 0.0429 98 1 -0.14847 0.07332 0.0429 98 1
ENSG00000228932 0.05446 0.1123 0.628 75 1 0.05446 0.1123 0.628 75 1
ENSG00000228956 0.01209 0.03941 0.759 123 0.994 0.01209 0.03941 0.759 123 0.994
ENSG00000228960 0.00417 0.09392 0.965 87 1 0.00417 0.09392 0.965 87 1
ENSG00000228974 -0.01133 0.11583 0.922 84 1 -0.01133 0.11583 0.922 84 1
ENSG00000228981 -0.14231 0.09098 0.118 90 1 -0.14231 0.09098 0.118 90 1
ENSG00000228985 0.04538 0.11876 0.702 68 1 0.04538 0.11876 0.702 68 1
ENSG00000228989 0.03992 0.04244 0.347 120 0.994 0.03992 0.04244 0.347 120 0.994
ENSG00000228998 -0.01402 0.04876 0.774 115 1 -0.01402 0.04876 0.774 115 1
ENSG00000229000 0.00569 0.10319 0.956 83 1 0.00569 0.10319 0.956 83 1
ENSG00000229001 -0.04845 0.11862 0.683 67 1 -0.04845 0.11862 0.683 67 1
ENSG00000229017 -0.04758 0.08177 0.561 87 1 -0.04758 0.08177 0.561 87 1
ENSG00000229018 -0.02767 0.09385 0.768 87 1 -0.02767 0.09385 0.768 87 1
ENSG00000229023 0.07522 0.11947 0.529 71 1 0.07522 0.11947 0.529 71 1
ENSG00000229036 0.02992 0.07313 0.682 102 1 0.02992 0.07313 0.682 102 1
ENSG00000229043 0.04093 0.09529 0.668 80 1 0.04093 0.09529 0.668 80 1
ENSG00000229052 -0.03597 0.08284 0.664 90 1 -0.03597 0.08284 0.664 90 1
ENSG00000229056 0.00282 0.09305 0.976 87 1 0.00282 0.09305 0.976 87 1
ENSG00000229083 0.0733 0.09817 0.455 86 1 0.0733 0.09817 0.455 86 1
ENSG00000229091 0.09743 0.10815 0.368 77 1 0.09743 0.10815 0.368 77 1
ENSG00000229093 0.029 0.10918 0.791 80 1 0.029 0.10918 0.791 80 1
ENSG00000229097 -0.13375 0.10284 0.193 77 1 -0.13375 0.10284 0.193 77 1
ENSG00000229106 0.07796 0.04946 0.115 109 0.999 0.07796 0.04946 0.115 109 0.999
ENSG00000229117 0.01743 0.03858 0.651 120 0.992 0.01743 0.03858 0.651 120 0.992
ENSG00000229119 0.11815 0.09499 0.214 81 1 0.11815 0.09499 0.214 81 1
ENSG00000229122 -0.04463 0.10536 0.672 82 1 -0.04463 0.10536 0.672 82 1
ENSG00000229124 -0.12688 0.09554 0.184 80 1 -0.12688 0.09554 0.184 80 1
ENSG00000229127 0.08976 0.09588 0.349 82 1 0.08976 0.09588 0.349 82 1
ENSG00000229132 0.00708 0.09675 0.942 81 1 0.00708 0.09675 0.942 81 1
ENSG00000229151 0.00058 0.10679 0.996 77 1 0.00058 0.10679 0.996 77 1
ENSG00000229152 -0.02818 0.09188 0.759 90 1 -0.02818 0.09188 0.759 90 1
ENSG00000229153 -0.0427 0.07487 0.568 95 1 -0.0427 0.07487 0.568 95 1
ENSG00000229161 0.07461 0.10641 0.483 83 1 0.07461 0.10641 0.483 83 1
ENSG00000229162 0.0574 0.10163 0.572 83 1 0.0574 0.10163 0.572 83 1
ENSG00000229164 0.02061 0.07586 0.786 86 1 0.02061 0.07586 0.786 86 1
ENSG00000229180 -0.05515 0.09189 0.548 89 1 -0.05515 0.09189 0.548 89 1
ENSG00000229186 0.02024 0.09355 0.829 92 1 0.02024 0.09355 0.829 92 1
ENSG00000229191 -0.01674 0.09363 0.858 82 1 -0.01674 0.09363 0.858 82 1
ENSG00000229196 0.00662 0.08285 0.936 89 1 0.00662 0.08285 0.936 89 1
ENSG00000229200 -0.00673 0.09892 0.946 77 1 -0.00673 0.09892 0.946 77 1
ENSG00000229204 0.04164 0.11438 0.716 79 1 0.04164 0.11438 0.716 79 1
ENSG00000229205 -0.04198 0.04876 0.389 117 0.999 -0.04198 0.04876 0.389 117 0.999
ENSG00000229222 -0.05665 0.11953 0.636 68 1 -0.05665 0.11953 0.636 68 1
ENSG00000229236 0.01949 0.07958 0.807 92 1 0.01949 0.07958 0.807 92 1
ENSG00000229237 0.07102 0.11726 0.545 81 1 0.07102 0.11726 0.545 81 1
ENSG00000229251 0.05768 0.11974 0.63 73 1 0.05768 0.11974 0.63 73 1
ENSG00000229273 -0.10042 0.10078 0.319 85 1 -0.10042 0.10078 0.319 85 1
ENSG00000229314 0.01062 0.05309 0.841 114 1 0.01062 0.05309 0.841 114 1
ENSG00000229320 -0.01673 0.0954 0.861 85 1 -0.01673 0.0954 0.861 85 1
ENSG00000229325 -0.0959 0.09652 0.32 77 1 -0.0959 0.09652 0.32 77 1
ENSG00000229331 -0.00226 0.09474 0.981 84 1 -0.00226 0.09474 0.981 84 1
ENSG00000229334 0.01942 0.05121 0.704 109 0.998 0.01942 0.05121 0.704 109 0.998
ENSG00000229344 0.1035 0.09457 0.274 87 1 0.1035 0.09457 0.274 87 1
ENSG00000229349 -0.04297 0.11347 0.705 74 1 -0.04297 0.11347 0.705 74 1
ENSG00000229358 -0.04348 0.09505 0.647 82 1 -0.04348 0.09505 0.647 82 1
ENSG00000229368 -0.06466 0.09646 0.503 82 1 -0.06466 0.09646 0.503 82 1
ENSG00000229388 0.17577 0.11168 0.116 78 1 0.17577 0.11168 0.116 78 1
ENSG00000229390 0.00896 0.10157 0.93 83 1 0.00896 0.10157 0.93 83 1
ENSG00000229391 -0.02328 0.03648 0.523 119 0.943 -0.02328 0.03648 0.523 119 0.943
ENSG00000229393 0.07137 0.06923 0.303 94 1 0.07137 0.06923 0.303 94 1
ENSG00000229405 -0.04803 0.10938 0.661 80 1 -0.04803 0.10938 0.661 80 1
ENSG00000229409 0.0069 0.11877 0.954 76 1 0.0069 0.11877 0.954 76 1
ENSG00000229413 -0.10351 0.10339 0.317 76 1 -0.10351 0.10339 0.317 76 1
ENSG00000229417 -0.00405 0.04828 0.933 118 1 -0.00405 0.04828 0.933 118 1
ENSG00000229419 -0.07375 0.10145 0.467 83 1 -0.07375 0.10145 0.467 83 1
ENSG00000229431 0.09018 0.11071 0.415 76 1 0.09018 0.11071 0.415 76 1
ENSG00000229436 0.06599 0.1027 0.521 81 1 0.06599 0.1027 0.521 81 1
ENSG00000229447 -0.03439 0.11019 0.755 66 1 -0.03439 0.11019 0.755 66 1
ENSG00000229453 0.05642 0.03976 0.156 115 0.992 0.05642 0.03976 0.156 115 0.992
ENSG00000229456 0.00976 0.08694 0.911 84 1 0.00976 0.08694 0.911 84 1
ENSG00000229472 -0.11178 0.10701 0.296 82 1 -0.11178 0.10701 0.296 82 1
ENSG00000229473 0.05061 0.10142 0.618 83 1 0.05061 0.10142 0.618 83 1
ENSG00000229474 0.05934 0.03915 0.13 120 0.769 0.05934 0.03915 0.13 120 0.769
ENSG00000229484 -0.00874 0.12038 0.942 78 1 -0.00874 0.12038 0.942 78 1
ENSG00000229489 -0.04249 0.10032 0.672 81 1 -0.04249 0.10032 0.672 81 1
ENSG00000229503 -0.15589 0.10368 0.133 78 1 -0.15589 0.10368 0.133 78 1
ENSG00000229512 0.08071 0.09534 0.397 82 1 0.08071 0.09534 0.397 82 1
ENSG00000229515 -0.11997 0.07859 0.127 89 1 -0.11997 0.07859 0.127 89 1
ENSG00000229519 -0.16692 0.12433 0.179 67 1 -0.16692 0.12433 0.179 67 1
ENSG00000229539 -0.12442 0.10486 0.235 81 1 -0.12442 0.10486 0.235 81 1
ENSG00000229559 -0.09692 0.11964 0.418 68 1 -0.09692 0.11964 0.418 68 1
ENSG00000229585 -0.07944 0.10139 0.433 79 1 -0.07944 0.10139 0.433 79 1
ENSG00000229589 0.07758 0.05092 0.128 117 1 0.07758 0.05092 0.128 117 1
ENSG00000229590 0.06678 0.04122 0.105 117 0.979 0.06678 0.04122 0.105 117 0.979
ENSG00000229591 -0.08915 0.0506 0.0781 110 0.994 -0.08915 0.0506 0.0781 110 0.994
ENSG00000229598 -0.00086 0.10119 0.993 75 1 -0.00086 0.10119 0.993 75 1
ENSG00000229628 0.00019 0.09812 0.998 83 1 0.00019 0.09812 0.998 83 1
ENSG00000229635 0.01182 0.11397 0.917 72 1 0.01182 0.11397 0.917 72 1
ENSG00000229638 0.06791 0.09208 0.461 89 1 0.06791 0.09208 0.461 89 1
ENSG00000229644 0.03381 0.09369 0.718 82 1 0.03381 0.09369 0.718 82 1
ENSG00000229645 0.00959 0.03984 0.81 122 0.888 0.00959 0.03984 0.81 122 0.888
ENSG00000229647 0.10978 0.09241 0.235 93 1 0.10978 0.09241 0.235 93 1
ENSG00000229648 0.03962 0.1019 0.697 83 1 0.03962 0.1019 0.697 83 1
ENSG00000229656 0.08937 0.1063 0.4 82 1 0.08937 0.1063 0.4 82 1
ENSG00000229659 -0.09788 0.05048 0.0525 114 1 -0.09788 0.05048 0.0525 114 1
ENSG00000229663 0.06749 0.11801 0.567 66 1 0.06749 0.11801 0.567 66 1
ENSG00000229666 -0.06754 0.09767 0.489 85 1 -0.06754 0.09767 0.489 85 1
ENSG00000229671 -0.0825 0.0985 0.402 81 1 -0.0825 0.0985 0.402 81 1
ENSG00000229677 -0.16758 0.09224 0.0692 89 1 -0.16758 0.09224 0.0692 89 1
ENSG00000229692 -0.03511 0.09439 0.71 80 1 -0.03511 0.09439 0.71 80 1
ENSG00000229700 -0.01652 0.10989 0.881 78 1 -0.01652 0.10989 0.881 78 1
ENSG00000229715 -0.00451 0.03796 0.905 119 0.999 -0.00451 0.03796 0.905 119 0.999
ENSG00000229727 -0.09275 0.06462 0.151 104 1 -0.09275 0.06462 0.151 104 1
ENSG00000229728 0.03642 0.09817 0.711 82 1 0.03642 0.09817 0.711 82 1
ENSG00000229729 -0.0138 0.07458 0.853 94 1 -0.0138 0.07458 0.853 94 1
ENSG00000229754 -0.03428 0.04151 0.409 116 0.951 -0.03428 0.04151 0.409 116 0.951
ENSG00000229759 -0.04859 0.1085 0.654 68 1 -0.04859 0.1085 0.654 68 1
ENSG00000229769 0.12033 0.07581 0.112 95 1 0.12033 0.07581 0.112 95 1
ENSG00000229780 0.16277 0.11396 0.153 76 1 0.16277 0.11396 0.153 76 1
ENSG00000229789 0.07884 0.09938 0.428 81 1 0.07884 0.09938 0.428 81 1
ENSG00000229807 -0.0449 0.07296 0.538 87 1 -0.0449 0.07296 0.538 87 1
ENSG00000229808 0.02347 0.09256 0.8 92 1 0.02347 0.09256 0.8 92 1
ENSG00000229809 0.02007 0.03579 0.575 120 0.968 0.02007 0.03579 0.575 120 0.968
ENSG00000229833 0.01003 0.09615 0.917 82 1 0.01003 0.09615 0.917 82 1
ENSG00000229841 0.03614 0.10571 0.732 81 1 0.03614 0.10571 0.732 81 1
ENSG00000229848 0.05708 0.12245 0.641 67 1 0.05708 0.12245 0.641 67 1
ENSG00000229852 0.01975 0.09252 0.831 84 1 0.01975 0.09252 0.831 84 1
ENSG00000229853 -0.03839 0.12048 0.75 70 1 -0.03839 0.12048 0.75 70 1
ENSG00000229870 0.03915 0.11678 0.737 75 1 0.03915 0.11678 0.737 75 1
ENSG00000229873 0.05898 0.10162 0.562 85 1 0.05898 0.10162 0.562 85 1
ENSG00000229894 0.07752 0.09914 0.434 78 1 0.07752 0.09914 0.434 78 1
ENSG00000229921 -0.02833 0.03941 0.472 124 0.999 -0.02833 0.03941 0.472 124 0.999
ENSG00000229931 0.01194 0.09461 0.9 83 1 0.01194 0.09461 0.9 83 1
ENSG00000229932 0.07833 0.09332 0.401 83 1 0.07833 0.09332 0.401 83 1
ENSG00000229939 -0.00708 0.10737 0.947 74 1 -0.00708 0.10737 0.947 74 1
ENSG00000229961 -0.01245 0.09588 0.897 85 1 -0.01245 0.09588 0.897 85 1
ENSG00000229979 -0.02176 0.12127 0.858 70 1 -0.02176 0.12127 0.858 70 1
ENSG00000229980 -0.0015 0.05483 0.978 111 1 -0.0015 0.05483 0.978 111 1
ENSG00000229988 -0.03426 0.043 0.426 114 0.803 -0.03426 0.043 0.426 114 0.803
ENSG00000229990 0.13631 0.12702 0.283 64 1 0.13631 0.12702 0.283 64 1
ENSG00000229994 -0.03251 0.09476 0.732 82 1 -0.03251 0.09476 0.732 82 1
ENSG00000230002 0.00339 0.0958 0.972 82 1 0.00339 0.0958 0.972 82 1
ENSG00000230006 0.05131 0.03563 0.15 119 0.956 0.05131 0.03563 0.15 119 0.956
ENSG00000230042 -0.06327 0.10752 0.556 80 1 -0.06327 0.10752 0.556 80 1
ENSG00000230055 -0.02715 0.04376 0.535 116 0.998 -0.02715 0.04376 0.535 116 0.998
ENSG00000230061 0.03829 0.11529 0.74 72 1 0.03829 0.11529 0.74 72 1
ENSG00000230068 0.06428 0.12355 0.603 70 1 0.06428 0.12355 0.603 70 1
ENSG00000230069 -0.08852 0.09741 0.363 75 1 -0.08852 0.09741 0.363 75 1
ENSG00000230071 -0.14567 0.09278 0.116 84 1 -0.14567 0.09278 0.116 84 1
ENSG00000230074 -0.00534 0.09359 0.955 84 1 -0.00534 0.09359 0.955 84 1
ENSG00000230076 -0.03638 0.09297 0.696 89 1 -0.03638 0.09297 0.696 89 1
ENSG00000230082 0.11687 0.10463 0.264 84 1 0.11687 0.10463 0.264 84 1
ENSG00000230084 0.08241 0.09217 0.371 90 1 0.08241 0.09217 0.371 90 1
ENSG00000230091 0.00566 0.0486 0.907 116 0.992 0.00566 0.0486 0.907 116 0.992
ENSG00000230092 0.07918 0.09966 0.427 87 1 0.07918 0.09966 0.427 87 1
ENSG00000230099 -0.04467 0.0928 0.63 85 1 -0.04467 0.0928 0.63 85 1
ENSG00000230105 0.01974 0.11861 0.868 78 1 0.01974 0.11861 0.868 78 1
ENSG00000230107 0.08294 0.09832 0.399 83 1 0.08294 0.09832 0.399 83 1
ENSG00000230124 -0.05475 0.06433 0.395 105 1 -0.05475 0.06433 0.395 105 1
ENSG00000230138 0.05281 0.09551 0.58 83 1 0.05281 0.09551 0.58 83 1
ENSG00000230146 -0.11272 0.11255 0.317 84 1 -0.11272 0.11255 0.317 84 1
ENSG00000230148 -0.09562 0.09514 0.315 83 1 -0.09562 0.09514 0.315 83 1
ENSG00000230149 -0.01938 0.09064 0.831 95 1 -0.01938 0.09064 0.831 95 1
ENSG00000230155 0.07028 0.09275 0.449 87 1 0.07028 0.09275 0.449 87 1
ENSG00000230162 -0.09899 0.11654 0.396 77 1 -0.09899 0.11654 0.396 77 1
ENSG00000230163 0.07001 0.09774 0.474 92 1 0.07001 0.09774 0.474 92 1
ENSG00000230177 0.0307 0.09668 0.751 81 1 0.0307 0.09668 0.751 81 1
ENSG00000230189 0.04443 0.09837 0.651 74 1 0.04443 0.09837 0.651 74 1
ENSG00000230191 0.07616 0.11121 0.493 70 1 0.07616 0.11121 0.493 70 1
ENSG00000230202 -0.01635 0.09894 0.869 73 1 -0.01635 0.09894 0.869 73 1
ENSG00000230204 -0.03454 0.10414 0.74 84 1 -0.03454 0.10414 0.74 84 1
ENSG00000230207 0.0753 0.09842 0.444 75 1 0.0753 0.09842 0.444 75 1
ENSG00000230216 0.05585 0.08506 0.511 92 1 0.05585 0.08506 0.511 92 1
ENSG00000230224 0.07935 0.10079 0.431 77 1 0.07935 0.10079 0.431 77 1
ENSG00000230257 -0.06809 0.09568 0.477 78 1 -0.06809 0.09568 0.477 78 1
ENSG00000230262 -0.01121 0.04424 0.8 114 1 -0.01121 0.04424 0.8 114 1
ENSG00000230266 0.01871 0.10327 0.856 76 1 0.01871 0.10327 0.856 76 1
ENSG00000230280 -0.0211 0.10686 0.844 74 1 -0.0211 0.10686 0.844 74 1
ENSG00000230289 0.02607 0.10782 0.809 76 1 0.02607 0.10782 0.809 76 1
ENSG00000230295 -0.05054 0.10292 0.623 83 1 -0.05054 0.10292 0.623 83 1
ENSG00000230306 -0.03678 0.11468 0.748 85 1 -0.03678 0.11468 0.748 85 1
ENSG00000230319 0.02457 0.11677 0.833 81 1 0.02457 0.11677 0.833 81 1
